campaign_id,campaign_name,date,canal,impresiones,aperturas,clics,costo,ctr,cpc
16a0a598-498c-4360-acbd-73fd5de3c96c,Campaña 10,2024-02-06,Google ads,8270,,485,960,0.058645707376058044,1.9793814432989691
095727ce-b041-47b8-b4a3-5bdc81e9fb10,Campaña 10,2024-02-07,Google ads,6390,,156,171,0.024413145539906103,1.0961538461538463
3aa3a3d5-b342-4fe1-b6c4-8e69f0924bef,Campaña 8,2024-02-23,Google ads,6734,,171,566,0.025393525393525393,3.309941520467836
d05b281b-deb2-4e0d-bd4e-b0fda784ad72,Campaña 6,2024-02-14,Google ads,5426,,137,472,0.025248802064135642,3.4452554744525545
06f8ef35-9939-45bf-bc16-d02d1074940e,Campaña 1,2024-04-20,Google ads,9322,,199,408,0.021347350354001288,2.050251256281407
38de4a0f-9311-4980-a734-c6c77dcc66af,Campaña 3,2024-01-08,Google ads,1769,,393,591,0.22215941209723009,1.5038167938931297
ff2ea29d-a041-42ef-af72-e693f9b7a3f0,Campaña 3,2024-01-30,Google ads,7949,,435,291,0.05472386463706127,0.6689655172413793
89b6744b-a71b-4f7d-aded-88b59779e67a,Campaña 7,2024-02-02,Google ads,6051,,326,260,0.05387539249710792,0.7975460122699386
124f90ef-eb15-4f47-9c4f-307476a4d854,Campaña 3,2024-04-11,Google ads,5555,,363,121,0.06534653465346535,0.3333333333333333
e151b49c-1077-4925-8aa3-cf2c70171ff4,Campaña 1,2024-05-05,Google ads,7396,,285,956,0.03853434288804759,3.354385964912281
86b8fed2-782e-4daa-a628-134c890cce19,Campaña 8,2024-03-04,Google ads,9666,,108,610,0.0111731843575419,5.648148148148148
08eadc96-fdb2-479d-976d-645af93ecc3f,Campaña 4,2024-01-08,Google ads,8849,,237,882,0.026782687309300487,3.721518987341772
62c6db26-2bb6-4572-9f96-8ef4edba5cec,Campaña 2,2024-02-05,Google ads,1189,,495,786,0.4163162321278385,1.587878787878788
e818b6ca-ded6-4549-b4f5-2204277d76c7,Campaña 2,2024-01-19,Google ads,4005,,100,975,0.024968789013732832,9.75
6206ff25-728d-45a7-8351-ee0e82642916,Campaña 2,2024-01-21,Google ads,8734,,293,931,0.03354705747652851,3.1774744027303754
446c74f9-0541-46e7-9ffe-adcab751928b,Campaña 7,2024-05-27,Google ads,2528,,180,584,0.07120253164556962,3.2444444444444445
05e3e4b1-6742-440c-adfa-55b950a59dc2,Campaña 1,2024-03-02,Google ads,4890,,184,120,0.0376278118609407,0.6521739130434783
8c75dee0-f3e7-48d0-824e-200e42b8137c,Campaña 6,2024-01-30,Google ads,6393,,437,700,0.06835601439073988,1.6018306636155606
b67ec8f4-2137-4961-9f78-e0af77956843,Campaña 3,2024-06-08,Google ads,9433,,314,445,0.03328739531432206,1.4171974522292994
8a096cd5-3353-47ba-9356-01fbef3d7812,Campaña 10,2024-06-04,Google ads,3612,,435,439,0.12043189368770764,1.0091954022988505
8da14355-cf56-4e8e-a426-b2912be38126,Campaña 7,2024-02-26,Google ads,7235,,416,554,0.05749827228749136,1.3317307692307692
63e9f26a-838d-45ff-b0ff-9619075b73f8,Campaña 1,2024-05-20,Google ads,1775,,480,134,0.2704225352112676,0.2791666666666667
b77871c2-bc9a-49cf-a56e-44487064c4af,Campaña 10,2024-02-28,Google ads,4152,,469,661,0.11295761078998073,1.4093816631130065
b3d08f39-24a8-4c85-9671-9c38392a01ff,Campaña 5,2024-06-10,Google ads,4943,,437,101,0.08840784948411895,0.2311212814645309
9ef5631c-75d6-40ca-aa3e-fea31b653f70,Campaña 5,2024-06-12,Google ads,2021,,439,665,0.21721919841662543,1.5148063781321184
b4448424-36c6-45f9-b506-6f964c3d572d,Campaña 9,2024-01-27,Google ads,4843,,359,576,0.074127606855255,1.6044568245125348
fb2eee36-c742-474b-a740-effc0efe6cb8,Campaña 3,2024-05-19,Google ads,7873,,93,261,0.011812523815572209,2.806451612903226
b8065f17-d0bd-4ab7-a62e-7434b3f14b77,Campaña 7,2024-03-29,Google ads,5297,,495,369,0.09344912214461015,0.7454545454545455
e9a30cc9-3edd-4223-9040-3fd8d5799e24,Campaña 5,2024-04-01,Google ads,8629,,264,351,0.03059450689535288,1.3295454545454546
664218c5-adf0-4e3c-a349-6671b913117e,Campaña 7,2024-03-28,Google ads,2016,,239,395,0.1185515873015873,1.6527196652719665
39787605-3c41-4455-9d7c-ca5a1b001089,Campaña 10,2024-03-09,Google ads,8892,,257,848,0.02890238416554206,3.299610894941634
c4c6993e-8289-466d-83ed-1e64dd63a395,Campaña 10,2024-06-05,Google ads,9529,,416,152,0.04365620736698499,0.36538461538461536
d5f82417-4af9-4702-b03c-4fbea59b322b,Campaña 10,2024-05-18,Google ads,5887,,459,316,0.07796840496008153,0.6884531590413944
11338479-006b-452a-bed1-56358f3a0589,Campaña 8,2024-02-17,Google ads,5859,,237,479,0.04045058883768561,2.021097046413502
265d557b-a337-4da8-ba95-4185521bbf9a,Campaña 2,2024-04-03,Google ads,9684,,90,256,0.00929368029739777,2.8444444444444446
fd9ab1d3-8590-4576-9a83-4f949abe97cc,Campaña 3,2024-05-10,Google ads,3062,,350,164,0.11430437622468975,0.4685714285714286
c3a0eecd-6a2b-4ab6-929b-1ff2526b5cb4,Campaña 4,2024-05-13,Google ads,9006,,58,443,0.006440151010437486,7.637931034482759
ae1a7231-53a5-4a2f-98de-0e8c4f6716e0,Campaña 6,2024-03-04,Google ads,3027,,185,571,0.061116617112652795,3.0864864864864865
14f24d6b-6698-453c-a5c6-8080dc9015cd,Campaña 9,2024-04-24,Google ads,6258,,130,491,0.020773410035155003,3.776923076923077
1de9c9af-d152-41aa-bfb1-3cc9e9fd7531,Campaña 3,2024-02-05,Google ads,6892,,280,140,0.04062681369704005,0.5
c465e136-b380-4c7e-b8ab-7d369a3e61c1,Campaña 9,2024-03-12,Google ads,4099,,184,300,0.04488899731641864,1.6304347826086956
5a75ad48-2fe2-4f4f-8135-e11aaffca576,Campaña 6,2024-02-16,Google ads,4104,,97,602,0.023635477582846003,6.206185567010309
bdc172cf-ba05-4898-9d3c-2ea48643efaa,Campaña 9,2024-02-28,Google ads,3454,,111,827,0.03213665315576143,7.45045045045045
f92167b5-f37e-4d13-9e42-84187845ebb1,Campaña 2,2024-05-22,Google ads,9996,,148,783,0.014805922368947578,5.29054054054054
645f82b5-0758-493a-99af-164952438d83,Campaña 3,2024-03-08,Google ads,9154,,84,838,0.00917631636443085,9.976190476190476
a1e1b89e-9094-406e-b5d5-970289d54e6e,Campaña 3,2024-03-03,Google ads,9110,,180,868,0.019758507135016465,4.822222222222222
b8168400-c587-4aae-9a5c-5244cbc298e1,Campaña 6,2024-01-23,Google ads,2028,,267,602,0.13165680473372782,2.254681647940075
a9d75ff5-df39-4576-aac6-029a0e08542f,Campaña 2,2024-04-10,Google ads,7910,,447,970,0.056510745891276866,2.170022371364653
d88c0e33-a2db-4579-af48-0dd495074abb,Campaña 10,2024-04-03,Google ads,7938,,442,306,0.05568153187200806,0.6923076923076923
8bc21541-4267-4c8a-8c04-275793f9e88c,Campaña 6,2024-05-31,Google ads,6134,,395,653,0.06439517443756114,1.6531645569620252
1c64d709-4645-4919-a8c3-bfd943a0cd41,Campaña 5,2024-02-18,Google ads,8035,,228,674,0.0283758556316117,2.956140350877193
b94883b8-1c6f-4594-b6d7-5a9bdeac3bd7,Campaña 4,2024-01-07,Google ads,1863,,280,340,0.15029522275899088,1.2142857142857142
